task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,876,178,978,0,False,True,True,False,unweighted_publication_primary,-1.5176579031690849,-1.5176579031690849,3.82979901583477e-09,100000000.0,1.0,True,True,316.2277660168379,876,178,0.375092257825905,0.375092257825905,0.375092257825905,0.0,0.6264410105469707,0.6264410105469707,0.6264410105469707,0.0,0.6220702479836577,0.4061447446343592,0.4061447440135833,-6.207759306597892e-10,True,False,1,3,2.2821290707880637e-09,0.3784710141317274,0.0103455790085718,0,1,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,841,213,978,0,False,True,True,False,unweighted_publication_primary,-1.4333935321343638,-1.4333935321343638,3.811320380420601e-09,100000000.0,100000000.0,True,False,,841,213,0.5662412576245486,0.5662412576245486,0.5662412576245486,0.0,0.8363844393592677,0.8363844393592677,0.8363844393592677,0.0,0.5582862596475135,0.2953852828415675,0.2953852820915357,-7.500318699449338e-10,True,False,1,3,2.06708181517759e-09,0.4061636529842903,0.0105614010244607,0,2,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,700,354,978,0,False,True,True,False,unweighted_publication_primary,-1.5999475528348917,-1.5999475528348917,5.593460773414644e-09,100000000.0,1.0,True,True,1000.0,700,354,0.3344968301581497,0.3344968301581497,0.3344968301581497,0.0,0.6342105263157894,0.6342105263157894,0.6342105263157894,0.0,0.5394639008292318,0.3901714394400871,0.3901714402900869,8.499997927735591e-10,True,False,1,3,3.556259594097999e-09,0.3798957241402065,0.0071012200787663,0,3,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,830,224,978,0,False,True,True,False,unweighted_publication_primary,-1.5847764137078588,-1.5847764137078588,3.620388983814737e-09,100000000.0,0.3162277660168379,True,True,31.6227766016838,830,224,0.4801481412554399,0.4801481412554399,0.4801481412554399,0.0,0.6624221844934918,0.6624221844934918,0.6624221844934918,0.0,0.5708562868681909,0.4155791910794421,0.4155791906542293,-4.252127538961759e-10,True,False,1,3,5.862809174771165e-10,0.3745258934764647,0.0114299070555716,0,4,2042,2978fcae800d771fab0efc87a83a3be1c42ca18b95653051fdd0e9ee9b3b5d22
NR-ER,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,968,86,978,0,False,True,True,False,unweighted_publication_primary,-1.525243384435774,-1.525243384435774,3.6021432186523396e-09,100000000.0,1.0,True,True,31.6227766016838,968,86,0.4860388163695902,0.4860388163695902,0.4860388163695902,0.0,0.724099099099099,0.724099099099099,0.724099099099099,0.0,0.5781004770125227,0.3575132210784222,0.3575132200488276,-1.029594631773989e-09,True,False,1,3,1.4404402115530954e-09,0.3854058607918884,0.0102898420300334,1,0,3042,efb73e58d531c2114a0a6c4c323d15da0894ea7faa4b46d60c5a20a832ee51a5
NR-ER,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,853,201,978,0,False,True,True,False,unweighted_publication_primary,-1.5506630951610676,-1.5506630951610676,3.959239480365537e-09,100000000.0,1.0,True,True,100.0,853,201,0.3295673793029789,0.3295673793029789,0.3295673793029789,0.0,0.6634615384615384,0.6634615384615384,0.6634615384615384,0.0,0.5967700004998175,0.4153488229691678,0.4153488227332954,-2.358723771855864e-10,True,False,1,3,1.6722711470781861e-09,0.375539066411389,0.0120315699605271,1,1,3042,efb73e58d531c2114a0a6c4c323d15da0894ea7faa4b46d60c5a20a832ee51a5
NR-ER,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,842,212,978,0,False,True,True,False,unweighted_publication_primary,-1.4698268495642195,-1.4698268495642195,4.224248065486786e-09,100000000.0,31.6227766016838,True,True,1000.0,842,212,0.4009758739835777,0.4009758739835777,0.4009758739835777,0.0,0.6530940878766965,0.6530940878766965,0.6530940878766965,0.0,0.5544712355924579,0.324682504874823,0.3246825045943489,-2.8047408839881877e-10,True,False,1,3,2.523059890353896e-09,0.3981793366718641,0.0085869340691715,1,2,3042,efb73e58d531c2114a0a6c4c323d15da0894ea7faa4b46d60c5a20a832ee51a5
NR-ER,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,724,330,978,0,False,True,True,False,unweighted_publication_primary,-1.5757126462694424,-1.5757126462694424,4.699558772642908e-09,100000000.0,3.162277660168379,True,True,1000.0,724,330,0.5007033529001752,0.5007033529001752,0.5007033529001752,0.0,0.7312857142857143,0.7312857142857143,0.7312857142857143,0.0,0.5400399228423761,0.3720822753787292,0.3720822754229484,4.4219239381249054e-11,True,False,1,3,2.861458778258274e-09,0.3882758224281458,0.0090355599531903,1,3,3042,efb73e58d531c2114a0a6c4c323d15da0894ea7faa4b46d60c5a20a832ee51a5
NR-ER,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,829,225,978,0,False,True,True,False,unweighted_publication_primary,-1.5771367303642003,-1.5771367303642003,3.960360545734441e-09,100000000.0,1.0,True,True,316.2277660168379,829,225,0.3574928062600901,0.3574928062600901,0.3574928062600901,0.0,0.5987636572742956,0.5987636572742956,0.5987636572742956,0.0,0.5999609306107311,0.4393109429535669,0.4393109423914526,-5.621142995515527e-10,True,False,1,3,1.6705169608721702e-09,0.3679863333402881,0.010083660017699,1,4,3042,efb73e58d531c2114a0a6c4c323d15da0894ea7faa4b46d60c5a20a832ee51a5
NR-ER,MCF7,standardized,0,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,969,85,978,0,False,True,True,False,unweighted_publication_primary,-1.5451203882956444,-1.5451203882956444,3.6491418983600717e-09,100000000.0,1.0,True,True,316.2277660168379,969,85,0.3480410707246205,0.3480410707246205,0.3480410707246205,0.0,0.6458752515090542,0.6458752515090542,0.6458752515090542,0.0,0.6044131480228369,0.4234134846123394,0.4234134834150335,-1.1973059765857386e-09,True,False,1,3,1.675599050135479e-09,0.3795900381938752,0.0105437450110912,2,0,4042,6b1636049313258acdc5eb4b0d14913728995a6f27da896a821b0c7d5dc6c19c
NR-ER,MCF7,standardized,1,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,830,224,978,0,False,True,True,False,unweighted_publication_primary,-1.530950774945554,-1.530950774945554,4.863273408217985e-09,100000000.0,1.0,True,True,316.2277660168379,830,224,0.347954752408704,0.347954752408704,0.347954752408704,0.0,0.6463306808134395,0.6463306808134395,0.6463306808134395,0.0,0.5439321073996616,0.3628971166058506,0.3628971174232817,8.174311227904241e-10,True,False,1,3,3.082680935387674e-09,0.3885822360757655,0.0102721480652689,2,1,4042,6b1636049313258acdc5eb4b0d14913728995a6f27da896a821b0c7d5dc6c19c
NR-ER,MCF7,standardized,2,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,844,210,978,0,False,True,True,False,unweighted_publication_primary,-1.5856476145722245,-1.5856476145722245,3.433289255777776e-09,100000000.0,100000000.0,True,False,,844,210,0.6324490668415651,0.6324490668415651,0.6324490668415651,0.0,0.7341176470588235,0.7341176470588235,0.7341176470588235,0.0,0.5818473929120274,0.4194917282699257,0.4194917276750166,-5.949091774759552e-10,True,False,1,3,7.636267382316041e-10,0.3742393899906051,0.0103127709589898,2,2,4042,6b1636049313258acdc5eb4b0d14913728995a6f27da896a821b0c7d5dc6c19c
NR-ER,MCF7,standardized,3,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,721,333,978,0,False,True,True,False,unweighted_publication_primary,-1.5210831618555865,-1.5210831618555865,4.816106065746348e-09,100000000.0,1.0,True,True,100.0,721,333,0.3531609070968746,0.3531609070968746,0.3531609070968746,0.0,0.7055677886127714,0.7055677886127714,0.7055677886127714,0.0,0.544756715427843,0.3563452803468636,0.3563452804190269,7.216338637761055e-11,True,False,1,3,3.447764416629126e-09,0.3955111810147228,0.0079402179690077,2,3,4042,6b1636049313258acdc5eb4b0d14913728995a6f27da896a821b0c7d5dc6c19c
NR-ER,MCF7,standardized,4,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,852,202,978,0,False,True,True,False,unweighted_publication_primary,-1.5047222700434466,-1.5047222700434466,3.806158544815106e-09,100000000.0,1.0,True,True,100.0,852,202,0.2337157868775546,0.2337157868775546,0.2337157868775546,0.0,0.568042328042328,0.568042328042328,0.568042328042328,0.0,0.6119398445845405,0.3969762971615103,0.3969762964754332,-6.860771395444941e-10,True,False,1,3,1.537190586625714e-09,0.3799156153749589,0.0111974740866571,2,4,4042,6b1636049313258acdc5eb4b0d14913728995a6f27da896a821b0c7d5dc6c19c
NR-ER,MCF7,standardized,0,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,970,84,978,0,False,True,True,False,unweighted_publication_primary,-1.5446464149967822,-1.5446464149967822,3.912666106367012e-09,100000000.0,1.0,True,True,316.2277660168379,970,84,0.533206874498874,0.533206874498874,0.533206874498874,0.0,0.7378114842903576,0.7378114842903576,0.7378114842903576,0.0,0.5547649941686942,0.3825922648215814,0.3825922649682307,1.4664924830043446e-10,True,False,1,3,2.0458197770405195e-09,0.3831698112112244,0.0132537820609286,3,0,5042,50aad39c7a98ec04a73a3c2a94633b3e7da6ef1abc78084d807a5c5785aac2c5
NR-ER,MCF7,standardized,1,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,856,198,978,0,False,True,True,False,unweighted_publication_primary,-1.5536919724735538,-1.5536919724735538,4.274978912891716e-09,100000000.0,1.0,True,True,316.2277660168379,856,198,0.3888940469766355,0.3888940469766355,0.3888940469766355,0.0,0.6073042168674699,0.6073042168674699,0.6073042168674699,0.0,0.6042531653521281,0.4234893752813115,0.4234893753934373,1.1212575312669058e-10,True,False,1,3,2.76380528012321e-09,0.3738019770002589,0.0090438369661569,3,1,5042,50aad39c7a98ec04a73a3c2a94633b3e7da6ef1abc78084d807a5c5785aac2c5
NR-ER,MCF7,standardized,2,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,841,213,978,0,False,True,True,False,unweighted_publication_primary,-1.5497743374639072,-1.5497743374639072,3.6100173549382173e-09,100000000.0,1.0,True,True,316.2277660168379,841,213,0.5169976579347377,0.5169976579347377,0.5169976579347377,0.0,0.7583176396735719,0.7583176396735719,0.7583176396735719,0.0,0.5834140964378699,0.3934826638264841,0.3934826630809122,-7.455718820104096e-10,True,False,1,3,1.0204105390515528e-09,0.3805074254583502,0.0094043019926175,3,2,5042,50aad39c7a98ec04a73a3c2a94633b3e7da6ef1abc78084d807a5c5785aac2c5
NR-ER,MCF7,standardized,3,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,698,356,978,0,False,True,True,False,unweighted_publication_primary,-1.547660785344545,-1.547660785344545,4.7808611441826575e-09,100000000.0,31.6227766016838,True,True,316.2277660168379,698,356,0.3230929903212227,0.3230929903212227,0.3230929903212227,0.0,0.6271645021645021,0.6271645021645021,0.6271645021645021,0.0,0.5480061235312644,0.3744162902417132,0.3744162901486158,-9.309741866303511e-11,True,False,1,3,3.407339820016286e-09,0.3875694137365001,0.0067365489667281,3,3,5042,50aad39c7a98ec04a73a3c2a94633b3e7da6ef1abc78084d807a5c5785aac2c5
NR-ER,MCF7,standardized,4,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,851,203,978,0,False,True,True,False,unweighted_publication_primary,-1.4943735275355603,-1.4943735275355603,3.978043960519046e-09,100000000.0,1.0,True,True,316.2277660168379,851,203,0.3584316096237746,0.3584316096237746,0.3584316096237746,0.0,0.6707865168539325,0.6707865168539325,0.6707865168539325,0.0,0.565615409981536,0.3497130467846596,0.3497130465144494,-2.702101320473105e-10,True,False,1,3,1.5742893880871243e-09,0.3912282296429401,0.0088703399524092,3,4,5042,50aad39c7a98ec04a73a3c2a94633b3e7da6ef1abc78084d807a5c5785aac2c5
